username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
gregorymckenna;2019-08-14 20:20;1;8;"This #chart for #RBA Debelle’s speech this morning is in so many ways hilarious #ironore #ausbiz $ AUDUSD pic.twitter.com/xTocRSJLmG";;;#chart #RBA #ironore #ausbiz;"1161779694598938624";https://twitter.com/gregorymckenna/status/1161779694598938624
Scutty;2019-08-13 23:27;3;7;"Chinese crude steel output stood at 85.22mt in July, down from 87.53mt in June. Still +5% YY #ironore pic.twitter.com/1EjTlWEvPn";;;#ironore;"1161464216777179136";https://twitter.com/Scutty/status/1161464216777179136
Scutty;2019-08-13 08:26;28;42;"Iron ore pummelled again. MBIOI-58 -7.3% to $77.03 MBIOI-62 -5.2% to $89.25 MBIOI-65-BZ -4% to $97.50. Benchmark now down 29% from the highs hit in July. pic.twitter.com/jRjfdI4HEq";;;;"1161237650839224320";https://twitter.com/Scutty/status/1161237650839224320
HLNCapital;2019-08-13 04:50;1;6;"$FEFE1 #ironore futures; weekly chart wow what a tail on this weeks candle. Interested to see if it can bounce off the support (which is technically the resistance) pic.twitter.com/JVNhzPuu77";;;#ironore;"1161183220865499136";https://twitter.com/HLNCapital/status/1161183220865499136
IFM_Economist;2019-08-12 23:25;2;17;"I have smoothed out the volatility in the NAB survey by industry, mining is the only sector with significantly positive conditions but this might retrace if iron ore prices keep falling #ausbiz pic.twitter.com/NKrME924IR";;;#ausbiz;"1161101422378672129";https://twitter.com/IFM_Economist/status/1161101422378672129
alexandrasketch;2019-08-12 22:25;6;27;"Mining for diamonds and iron ore . pic.twitter.com/D55QPqZOYm";;;;"1161086288633589760";https://twitter.com/alexandrasketch/status/1161086288633589760
bluejug2001;2019-08-12 19:55;2;10;"#China need long term supply of high #grade #ironore 68Fe% ..fixed price, 60 years supply @30Mtpa.... #zioc primed for JV with #China #fomo pic.twitter.com/RWg28oOrje";;@30Mtpa;#China #grade #ironore #zioc #China #fomo;"1161048488962076673";https://twitter.com/bluejug2001/status/1161048488962076673
bluejug2001;2019-08-12 19:32;3;14;"Major economic growth in #congo , @Zanaga_ Iron_Ore key player. #China investing heavily #Zioc . pic.twitter.com/VyWiHOMHrd";;@Zanaga_;#congo #China #Zioc;"1161042746142089216";https://twitter.com/bluejug2001/status/1161042746142089216
dpradhanbjp;2019-08-12 13:29;98;567;"After a hectic day touring various iron ore mines, it was refreshing to spend some time with these school children. SAIL is contributing towards education and wellbeing of children living around the mine area. My best wishes to these children for a bright future! pic.twitter.com/D2e1P8rPys";;;;"1160951437725016064";https://twitter.com/dpradhanbjp/status/1160951437725016064
dpradhanbjp;2019-08-12 05:47;41;258;"Visited @SAILsteel ’s captive iron ore mine in Gua, Jharkhand. Impressed by the positivity of colleagues here. We discussed on a roadmap to enhance capacity of Gua iron ore mine to make it the best mine in the country both in production volumes and in sustainable mining. pic.twitter.com/PWTa1lb3h8";;@SAILsteel;;"1160835303323525120";https://twitter.com/dpradhanbjp/status/1160835303323525120
YesSweden;2019-08-12 04:22;29;254;"Another picture of Kiruna, with the iron ore mine at the background. #Swedish #Lapland pic.twitter.com/EQREbO9dOy";;;#Swedish #Lapland;"1160813886922039296";https://twitter.com/YesSweden/status/1160813886922039296
Laurenttrader;2019-08-12 01:50;10;75;"Iron Ore still getting whipped. Ore down, car sales down, construction down, property volumes way down. Don't worry - property prices will go up all by themselves and save us - no need for the real economy! pic.twitter.com/uLp0G8r5qR";;;;"1160775467130998785";https://twitter.com/Laurenttrader/status/1160775467130998785
mojo2475;2019-08-11 23:15;2;18;"#IRONORE in #AUD terms is still at $137 despite a flogging in the last few weeks from the peak of ~$175/t Most of these small outfits looking to produce will be able to make good coin here. $ SRK , $ SHH , $ FEX , $ VMS pic.twitter.com/yvIZAtB0ey";;;#IRONORE #AUD;"1160736533063671808";https://twitter.com/mojo2475/status/1160736533063671808
Scutty;2019-08-11 17:57;43;84;"Dalian iron ore futures smoked again on Friday night. Jan 2020 contract -3.7% to 621.5 yuan. Now down 24% since mid-July. pic.twitter.com/2aWWX97oA4";;;;"1160656633115996160";https://twitter.com/Scutty/status/1160656633115996160
simonting;2019-08-08 23:53;8;16;"DCE Iron Ore Spot index continues its tailspin ... -26% from high now. pic.twitter.com/idSDhMxcU6";;;;"1159658859218124800";https://twitter.com/simonting/status/1159658859218124800
mattjcan;2019-08-08 17:57;26;74;"iron ore + coal + gas > than all other exports pic.twitter.com/URTwoMCs6C";;;;"1159569261011935232";https://twitter.com/mattjcan/status/1159569261011935232
Makno20;2019-08-08 16:41;17;80;""value does not derive from labour" Except when it obviously does. You tweeting that tweet created "value" before there was a nothing, then there was a tweet (not a very good one but alas) In the same way, iron ore gets turned into iron. Iron into steel. i.e value pic.twitter.com/fMQ7PmsmXD";;;;"1159550276438843392";https://twitter.com/Makno20/status/1159550276438843392
SteelMinIndia;2019-08-08 09:27;10;30;"Transportation of iron ore fines to pelletization units is targeted through slurry pipelines and conveyors as it reduces pollution and de-congests transportation infrastructure in mining areas. pic.twitter.com/4CXN3VgedX";;;;"1159441093299036160";https://twitter.com/SteelMinIndia/status/1159441093299036160
matt_barrie;2019-08-07 13:06;39;139;"Australia: real estate in free fall, iron ore in free fall, AUD in free fall. Largest trading partner in trade war. Nobody saw it coming. What’s left to fuck up? @woollahramc just told my local bar they need to lock out at midnight. #auspol #nswpol #ausbiz https:// medium.com/@matt_11659/ma tt-barrie-australias-economy-is-a-house-of-cards-6877adb3fb2f …";;@woollahramc @matt_11659;#auspol #nswpol #ausbiz;"1159133791966912513";https://twitter.com/matt_barrie/status/1159133791966912513
JanGold_;2019-08-07 03:44;18;24;"Iron ore in freefall. pic.twitter.com/6zHLpO2OCf";;;;"1158992200774148096";https://twitter.com/JanGold_/status/1158992200774148096
IFM_Economist;2019-08-14 20:19;0;8;"From #RBA 's Debelle: it is "unclear" what government will do with the unexpected windfall from higher iron ore prices. I'd suggest it is not unclear we can observe that the government is being very cautious and has an overwhelming desire to record a budget surplus #ausbiz pic.twitter.com/LYOyBldoce";;;#RBA #ausbiz;"1161779366495281152";https://twitter.com/IFM_Economist/status/1161779366495281152
chigrl;2019-08-14 13:08;13;29;"#China Commodity Imports Growth Volume #oil #ironore #copper #steel pic.twitter.com/wNoFtYnQK7";;;#China #oil #ironore #copper #steel;"1161670855115575296";https://twitter.com/chigrl/status/1161670855115575296
Iran;2019-08-13 21:30;6;18;"Iran iron ore exports at 17m tons orth $840m last year #Iran https:// theiranproject.com/?p=356501";;;#Iran;"1161434761623044096";https://twitter.com/Iran/status/1161434761623044096
IamanODIA;2019-08-13 07:41;5;15;"Gorumahisani- first iron ore mines developed in India in 1910, by Maharaja Sriram Chandra Bhanj Deo- later handed over to Tata Steel- Sakchi "TATA STEEL REMINISCES THE PRICELESS CONTRIBUTION OF P N BOSE ON HIS 162nd BIRTH ANNIVERSARY" pic.twitter.com/IJ4jF2cQ4S";;;;"1161226261806473217";https://twitter.com/IamanODIA/status/1161226261806473217
ASX1500;2019-08-12 10:33;0;12;"I didn’t realise the supply disruption from Australia was so big. Approx 25% drop in exports inc Brazil for about 3 months just as steel production went up 5%. Steel inventories at 5 year highs, iron ore inventory plentiful. RBA sees 2 years for back to normal, I see 2 months. pic.twitter.com/8zG6JElbvp";;;;"1160907053679837185";https://twitter.com/ASX1500/status/1160907053679837185
karun_f7;2019-08-12 08:07;0;2;"DCE #Ironore index closed miidday today at 638 Yuan/ t. pic.twitter.com/lB1GLir6Ip";;;#Ironore;"1160870366652145665";https://twitter.com/karun_f7/status/1160870366652145665
SteelMinIndia;2019-08-12 06:33;8;34;"Hon. Min. P&NG and Steel, Shri @dpradhanbjp visited @TataSteelLtd ’s Iron ore mines in Noamundi and witnessed solar power plant, rain water harvesting structure and state-of-the-art Fleet Management System. pic.twitter.com/mQUNnA9cx7";;@dpradhanbjp @TataSteelLtd;;"1160846835138748417";https://twitter.com/SteelMinIndia/status/1160846835138748417
AvidCommentator;2019-08-12 04:37;20;62;"- The construction sector is projected to shed 100,000 jobs by the end of 2019 - Retail remains in a "recession" - Iron ore has plummeted almost 30% in the last 2 weeks. - The chance of a global recession is as high as ~80% by the end of 2020. #TheSurplusIsToast #GiveUpScoMo";;;#TheSurplusIsToast #GiveUpScoMo;"1160817694075052033";https://twitter.com/AvidCommentator/status/1160817694075052033
dpradhanbjp;2019-08-12 03:20;47;288;"Visited @TataSteelLtd ’s Iron ore mines in Noamundi. Happy to know that Tata Steel has commissioned a solar power plant at the mines to reduce the carbon footprints. The solar power plant is a first to be set up in any iron ore mine of the country. pic.twitter.com/CMmc3nk45q";;@TataSteelLtd;;"1160798220865327104";https://twitter.com/dpradhanbjp/status/1160798220865327104
YuanTalks;2019-08-12 00:21;30;47;"#China ’s #IronOre futures extend losses on Monday, tumbling 4.7% to hit NEW LOW in nearly three month on downbeat outlook for demand and rising stockpiles. https://www. yuantalks.com/chinas-iron-or e-futures-two-month-low-as-turning-point-in-supplies-emerges/ … pic.twitter.com/xjmGSMMLUC";;;#China #IronOre;"1160753216595775489";https://twitter.com/YuanTalks/status/1160753216595775489
Scutty;2019-08-11 23:38;8;17;"Chinese iron ore port inventories up another 1.2% last week to 122.5 million tonnes, according to Steelhome data. pic.twitter.com/dXOSkNjsVu";;;;"1160742384100974592";https://twitter.com/Scutty/status/1160742384100974592
simonting;2019-08-11 22:57;25;32;"DCE Iron Ore Spot index declines 9 days in a row. Iron Ore futures -5.1%, low 609.5 RMB, 607 limit down pic.twitter.com/2dzV1H0ooq";;;;"1160732023079624709";https://twitter.com/simonting/status/1160732023079624709
Robert__Rennie;2019-08-11 22:09;31;53;"Chinese rebar steel inventory at highest level seen for this time of year in 6yrs. The price of Chinese rebar is at lowest level in 15 months in US$ terms. This slide in Chinese steel prices/ inventory rise, has played an important role in very sharp reversal in iron ore prices. pic.twitter.com/4K9sT7zxRD";;;;"1160719855512739845";https://twitter.com/Robert__Rennie/status/1160719855512739845
crushthemarket;2019-08-11 21:49;2;14;"There goes the Aussie Govt surplus as #Ironore has collapsed as the drivers that sent prices surging to the highest in five years just last month swiftly reversed as supply is picking up as Vale restarts production. $ fmg $ rio $ bhp https://www. bloombergquint.com/global-economi cs/iron-ore-suffers-torrid-week-as-demand-fears-put-bears-in-charge … pic.twitter.com/9IancbmrSo";;;#Ironore;"1160714768715603968";https://twitter.com/crushthemarket/status/1160714768715603968
